,territory_name,epiweek,situation_name,value,epiyear
17,Pernambuco,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,4.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,5.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,6.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,7.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,8.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,9.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,10.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,11.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,12.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,13.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,13.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,13.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,13.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,13.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,13.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,13.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
